track,note,start,end
3,57,127680,128160
3,35,127680,128160
1,64,128040,128280
1,59,128040,128280
1,52,128040,128280
1,64,128040,128400
2,40,128040,128160
3,57,128160,128640
3,38,128160,128640
1,62,128400,128640
1,57,128400,128640
1,50,128400,128640
1,64,128400,128640
2,38,128400,128640
1,60,128640,129600
1,55,128640,129600
1,48,128640,129600
1,67,128640,129600
2,36,128640,129600
3,57,128640,129120
3,35,128640,129120
3,57,129120,129600
3,38,129120,129600
1,59,129600,130560
1,54,129600,130560
1,47,129600,130560
1,66,129600,130560
2,35,129600,130560
3,57,129600,130080
3,35,129600,130080
3,57,130080,130560
3,38,130080,130560
1,57,130500,130560
1,52,130500,130560
1,45,130500,130560
1,64,130560,131280
1,59,130560,131280
1,52,130560,131280
1,64,130560,131280
2,40,130560,131280
3,57,130560,131040
3,35,130560,131040
3,57,131040,131280
3,38,131040,131280
1,64,131280,131520
1,59,131280,131520
1,52,131280,131520
1,64,131280,131520
2,40,131280,131400
3,35,131280,131520
1,67,131520,131760
1,62,131520,131760
1,55,131520,131760
1,67,131520,131880
2,43,131520,131640
3,57,131520,132000
3,35,131520,132000
1,64,131880,132120
1,59,131880,132120
1,52,131880,132120
1,69,131880,132240
2,40,131880,132000
3,57,132000,132240
3,35,132000,132240
1,62,132240,132480
1,57,132240,132480
1,50,132240,132480
1,67,132240,132480
2,38,132240,132480
3,38,132240,132480
1,67,132480,132600
1,60,132480,132840
1,55,132480,132840
1,48,132480,132840
2,36,132480,132840
3,57,132480,132960
3,35,132480,132960
1,67,132720,132840
1,69,132840,133080
1,62,132840,133200
1,57,132840,133200
1,50,132840,133200
2,38,132840,133200
3,57,132960,133440
3,38,132960,133440
1,67,133200,133320
1,60,133200,133440
1,55,133200,133440
1,48,133200,133440
2,36,133200,133440
1,59,133440,133920
1,54,133440,133920
1,47,133440,133920
1,66,133440,134400
2,35,133440,133920
3,57,133440,133920
3,35,133440,133920
2,33,133920,134400
3,57,133920,134400
3,38,133920,134400
1,57,134340,134400
1,52,134340,134400
1,45,134340,134400
1,75,134340,134400
1,64,134400,135120
1,59,134400,135120
1,52,134400,135120
1,76,134400,135120
2,40,134400,135120
3,57,134400,134880
3,35,134400,134880
3,57,134880,135360
3,38,134880,135360
1,76,135120,135300
1,64,135120,135360
1,59,135120,135360
1,52,135120,135360
2,40,135120,135240
1,76,135300,135360
1,67,135360,135600
